Time,HeartRate
00:00:00,66
00:00:05,65
00:00:10,66
00:00:15,67
00:00:20,65
00:00:25,65
00:00:30,67
00:00:35,66
00:00:40,64
00:00:45,66
00:00:50,64
00:00:55,64
00:01:00,65
00:01:05,62
00:01:10,62
00:01:15,64
00:01:20,63
00:01:25,65
00:01:30,64
00:01:35,63
00:01:40,67
00:01:45,65
00:01:50,65
00:01:55,63
00:02:00,64
00:02:05,65
00:02:10,63
00:02:15,66
00:02:20,64
00:02:25,65
00:02:30,64
00:02:35,68
00:02:40,65
00:02:45,63
00:02:50,66
00:02:55,63
00:03:00,65
00:03:05,62
00:03:10,63
00:03:15,65
00:03:20,66
00:03:25,65
00:03:30,65
00:03:35,65
00:03:40,63
00:03:45,64
00:03:50,64
00:03:55,67
00:04:00,66
00:04:05,62
00:04:10,65
00:04:15,64
00:04:20,64
00:04:25,66
00:04:30,67
00:04:35,66
00:04:40,64
00:04:45,65
00:04:50,65
00:04:55,66
00:05:00,64
00:05:05,65
00:05:10,64
00:05:15,64
00:05:20,69
00:05:25,70
00:05:30,68
00:05:35,70
00:05:40,70
00:05:45,68
00:05:50,70
00:05:55,73
00:06:00,71
00:06:05,74
00:06:10,66
00:06:15,74
00:06:20,73
00:06:25,72
00:06:30,74
00:06:35,70
00:06:40,74
00:06:45,76
00:06:50,78
00:06:55,75
00:07:00,75
00:07:05,76
00:07:10,79
00:07:15,78
00:07:20,77
00:07:25,80
00:07:30,79
00:07:35,82
00:07:40,79
00:07:45,80
00:07:50,80
00:07:55,79
00:08:00,83
00:08:05,83
00:08:10,83
00:08:15,83
00:08:20,81
00:08:25,84
00:08:30,84
00:08:35,84
00:08:40,86
00:08:45,87
00:08:50,91
00:08:55,88
00:09:00,88
00:09:05,88
00:09:10,85
00:09:15,89
00:09:20,90
00:09:25,95
00:09:30,90
00:09:35,92
00:09:40,92
00:09:45,90
00:09:50,95
00:09:55,95
00:10:00,96
00:10:05,91
00:10:10,98
00:10:15,90
00:10:20,97
00:10:25,102
00:10:30,92
00:10:35,94
00:10:40,96
00:10:45,95
00:10:50,92
00:10:55,97
00:11:00,94
00:11:05,99
00:11:10,95
00:11:15,103
00:11:20,96
00:11:25,98
00:11:30,102
00:11:35,96
00:11:40,101
00:11:45,104
00:11:50,96
00:11:55,101
00:12:00,102
00:12:05,104
00:12:10,98
00:12:15,98
00:12:20,104
00:12:25,104
00:12:30,104
00:12:35,104
00:12:40,102
00:12:45,105
00:12:50,105
00:12:55,102
00:13:00,110
00:13:05,107
00:13:10,102
00:13:15,108
00:13:20,103
00:13:25,109
00:13:30,110
00:13:35,105
00:13:40,110
00:13:45,109
00:13:50,111
00:13:55,114
00:14:00,108
00:14:05,107
00:14:10,107
00:14:15,107
00:14:20,110
00:14:25,111
00:14:30,111
00:14:35,113
00:14:40,111
00:14:45,116
00:14:50,111
00:14:55,120
00:15:00,133
00:15:05,129
00:15:10,129
00:15:15,134
00:15:20,132
00:15:25,135
00:15:30,134
00:15:35,133
00:15:40,131
00:15:45,129
00:15:50,132
00:15:55,136
00:16:00,135
00:16:05,130
00:16:10,135
00:16:15,136
00:16:20,132
00:16:25,135
00:16:30,135
00:16:35,132
00:16:40,137
00:16:45,137
00:16:50,139
00:16:55,139
00:17:00,132
00:17:05,134
00:17:10,138
00:17:15,138
00:17:20,139
00:17:25,149
00:17:30,139
00:17:35,141
00:17:40,141
00:17:45,140
00:17:50,137
